IdAutore,Autore
1,Nilla Pizzi
2,Nilla Pizzi e Achille Togliani
3,Achille Togliani
4,Achille Togliani e Duo Fasano
5,Duo Fasano
6,Nilla Pizzi e Duo Fasano
7,Oscar Carboni
8,Gino Latilla
9,Carla Boni e Flo Sandon's
10,Nilla Pizzi e Doppio Quintetto Vocale e Teddy Reno e Quartetto Stars
11,Achille Togliani e Teddy Reno
12,Gino Latilla e Doppio Quintetto Vocale e Giorgio Consolini
13,Gino Latilla e Giorgio Consolini
14,Achille Togliani e Katyna Ranieri
15,Carla Boni e Quartetto Stars
16,Carla Boni e Katyna Ranieri
17,Nilla Pizzi e Teddy Reno
18,Katyna Ranieri e Achille Togliani
19,Gino Latilla e Teddy Reno
20,Achille Togliani e Giorgio Consolini
21,Nilla Pizzi e Flo Sandon's
22,Giorgio Consolini e Gino Latilla
23,Gino Latilla e Franco Ricci
24,Natalino Otto e Vittoria Mongardi
25,Flo Sandon's e Carla Boni
26,Quartetto Cetra e Vittoria Mongardi e Duo Fasano
27,Gino Latilla e Duo Fasano e Katyna Ranieri e Giorgio Consolini
28,Achille Togliani e Natalino Otto
29,Achille Togliani e Flo Sandon's e Natalino Otto
30,Vittoria Mongardi e Flo Sandon's
31,Carla Boni Gino Latilla e Duo Fasano e Quartetto Cetra
32,Carla Boni e Duo Fasano e Giorgio Consolini
33,Gino Latilla e Duo Fasano e Quartetto Cetra
34,Carla Boni e Duo Fasano e Quartetto Cetra
35,Achille Togliani e Gianni Ravera
36,Duo Fasano e Gino Latilla e Quartetto Cetra
37,Katyna Ranieri e Vittoria Mongardi
38,Carla Boni e Quartetto Cetra
39,Gino Latilla e Natalino Otto
40,Claudio Villa e Tullio Pane
41,Natalino Otto e Trio Aurora e Bruno Pallesi Nuccia Bongiovanni e Radio Boys
42,Claudio Villa e Narciso Parigi
43,Antonio Basurto e Gianni Ravera
44,Jula de Palma e Marisa Colomber
45,Narciso Parigi e Radio Boys e Natalino Otto e Trio Aurora
46,Natalino Otto e Antonio Basurto
47,Jula de Palma e Antonio Basurto
48,Bruno Pallesi e Jula de Palma
