IDAUTORE,IDCANZONE,TITOLO,POPOLARITA
1,5000,Grazie dei fiori,0
2,5001,La luna si veste d'argento,0
3,5002,Serenata a nessuno,0
1,5003,Vola Colomba,0
1,5004,Papaveri e papere,33
1,5005,Una donna prega,1
9,5006,Viale d'autunno,0
10,5007,Campanaro,4
11,5008,Lasciami cantare una canzone,20
12,5009,Vecchio scarpone,26
22,5010,Tutte le mamme,0
18,5011,Canzone da due soldi,19
23,5012,e la barca torno sola,20
40,5013,Buongiorno tristezza,0
40,5014,Il torrente,0
41,5015,Canto nella valle,20
54,5016,Aprite le finestre,0
55,5017,Amami se vuoi,27
56,5018,La vita e un paradiso di bugie,13
63,5019,Corde della mia chitarra,0
64,5020,Usignolo,12
65,5021,Scusami,27
81,5022,Nel blu dipinto di blu,52
82,5023,L'edera,4
83,5024,Amare un'altra,19
81,5025,Piove (ciao ciao bambina),0
99,5026,Io sono il vento,32
100,5027,Conoscerti,5
116,5028,Romantica,0
117,5029,Libero,29
118,5030,Quando vien la sera,32
134,5031,24mila baci,46
135,5032,Il mare nel cassetto,24
133,5033,Al di la,0
157,5034,Addioaddio,0
158,5035,Tango italiano,46
159,5036,Gondoli gondola,24
160,5037,Uno per tutte,0
187,5038,Amor mon amour my love,27
188,5039,Giovane giovane,45
206,5040,Non ho l'eta (Per amarti),0
207,5041,Che me ne importa a me,7
208,5042,Come potrei dimenticarti,1
209,5043,Ieri ho incontrato mia madre,14
210,5044,La prima che incontro,2
211,5045,Motivo d'amore,31
212,5046,Ogni Volta,32
213,5047,Quando vedrai la mia ragazza,27
214,5048,Sabato sera,36
215,5049,Stasera no no no,53
216,5050,Un bacio piccolissimo,23
217,5051,Una lacrima sul viso,46
230,5052,Se piangi se ridi,0
231,5053,Abbracciami forte,25
232,5054,Amici miei,26
233,5055,Aspetta domani,13
234,5056,Ho bisogno di vederti,18
235,5057,Invece no,49
236,5058,Io che non vivo (senza te),52
237,5059,L'amore ha i tuoi occhi,6
238,5060,Le colline sono in fiore,36
239,5061,Prima o poi,34
240,5062,Si vedra,1
241,5063,Vieni con noi,27
254,5064,Dio come ti amo,0
255,5065,Nessuno mi puo giudicare,58
256,5066,In un fiore,4
279,5067,Non pensare a me,0
280,5068,Quando dico che ti amo,33
281,5069,Proposta,36
308,5070,Canzone per te,0
309,5071,Casa bianca,20
310,5072,Canzone,57
332,5073,Zingara,0
333,5074,Lontano dagli occhi,40
334,5075,Un sorriso,10
355,5076,Chi non lavora non fa l'amore,0
356,5077,La prima cosa bella,49
357,5078,L'arca di Noe,28
381,5079,Il cuore e uno zingaro,0
382,5080,Che sara,49
383,5081,04-mar-43,58
404,5082,I giorni dell'arcobaleno,0
405,5083,Come le viole,44
406,5084,Il re di denari,32
432,5085,Un grande amore e niente piu,0
405,5086,Come un ragazzino,36
415,5087,Da troppo tempo,32
454,5088,Ciao cara come stai?,0
417,5089,Questa e la mia vita,56
455,5090,Occhi rossi,63
477,5091,Ragazza del sud,0
478,5092,Ipocrisia,34
464,5093,Va' speranza va',22
432,5094,Non lo faccio piu,0
434,5095,Come stai con chi sei,16
504,5096,Gli occhi di tua madre,35
505,5097,Volo AZ 504,21
527,5098,Bella da morire,0
528,5099,Tu mi rubi l'anima,40
529,5100,Monica,60
532,5101,e dirsi ciao,0
534,5102,Un'emozione da poco,50
535,5103,Gianna,62
545,5104,Amare,53
547,5105,Quell'attimo in piu,7
546,5106,Barbara,63
